_id,text,user.screen_name,coordinates.coordinates,created_at,user.location,source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectID(544c91d59b86a0426dfdec2c),"""Like a seed, we need to travel a bit, before we find a place to grow our roots. #keepflying - http://t.co/zXzi5FdxpI http://t.co/L1GfRHrXfi""",MAS,,Fri Oct 24 03:00:13 +0000 2014,"Kuala Lumpur, Malaysia","<a href=""http://adobe.com"" rel=""nofollow"">Adobe̴� Social</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectID(544c91d59b86a0426dfdec2d),"""@rkemp97 Hi Ricky - our Customer Care team is in the midst of investigating your case. They will be in touch with you soon.""",MAS,,Thu Oct 23 09:46:00 +0000 2014,"Kuala Lumpur, Malaysia","<a href=""http://adobe.com"" rel=""nofollow"">Adobe̴� Social</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectID(544c91d59b86a0426dfdec2e),"""[MY]Drop by our booth @ 1Utama Travel Fair from now till 27 Oct for great prizes &amp; fares to Australia. See you there! http://t.co/Z8qG9OPUDa""",MAS,,Thu Oct 23 08:00:04 +0000 2014,"Kuala Lumpur, Malaysia","<a href=""http://adobe.com"" rel=""nofollow"">Adobe̴� Social</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectID(544c91d59b86a0426dfdec2f),"""@MNGMing88 Hi Ming Yap, may we have your booking ref. number, last name and e-ticket number for us to check further? Thank you.""",MAS,,Thu Oct 23 07:56:48 +0000 2014,"Kuala Lumpur, Malaysia","<a href=""http://adobe.com"" rel=""nofollow"">Adobe̴� Social</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectID(544c91d59b86a0426dfdec30),"""@NNBLMYZ Hi Bella, for more information regarding MHupgrade, kindly visit http://t.co/XcWQkMuOmB Thank you.""",MAS,,Thu Oct 23 07:54:52 +0000 2014,"Kuala Lumpur, Malaysia","<a href=""http://adobe.com"" rel=""nofollow"">Adobe̴� Social</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectID(544c91d59b86a0426dfdec31),"""@DailyTravelTips Hi there, kindly send us your full booking details to socialmedia.team@malaysiaairlines.com for further assistance. TQ.""",MAS,,Thu Oct 23 07:51:48 +0000 2014,"Kuala Lumpur, Malaysia","<a href=""http://adobe.com"" rel=""nofollow"">Adobe̴� Social</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectID(544c91d59b86a0426dfdec32),"""@lachie85 Hi Lachie, we've sent an e-mail to you earlier today. At the moment our Customer Care team is still investigating your case. TQ.""",MAS,,Thu Oct 23 07:50:47 +0000 2014,"Kuala Lumpur, Malaysia","<a href=""http://adobe.com"" rel=""nofollow"">Adobe̴� Social</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectID(544c91d59b86a0426dfdec33),"""@childish_Agirl Hi, we recommend checking in at least 2 hours before your flight. Thank you.""",MAS,,Thu Oct 23 07:50:23 +0000 2014,"Kuala Lumpur, Malaysia","<a href=""http://adobe.com"" rel=""nofollow"">Adobe̴� Social</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectID(544c91d59b86a0426dfdec34),"""@NordinAbdullah Hi Nordin, thank you for your compliment! We're pleased that you are happy with your experience with us. See you again soon!""",MAS,,Thu Oct 23 07:40:32 +0000 2014,"Kuala Lumpur, Malaysia","<a href=""http://adobe.com"" rel=""nofollow"">Adobe̴� Social</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectID(544c91d59b86a0426dfdec35),"""@AchapBahry Thank you for your support! We appreciate it.""",MAS,,Thu Oct 23 07:39:52 +0000 2014,"Kuala Lumpur, Malaysia","<a href=""http://adobe.com"" rel=""nofollow"">Adobe̴� Social</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectID(544c91d59b86a0426dfdec36),"""@lailirazak Hi Ian, thank you for sharing your lovely picture. We're glad to be able to serve you!""",MAS,,Thu Oct 23 07:38:07 +0000 2014,"Kuala Lumpur, Malaysia","<a href=""http://adobe.com"" rel=""nofollow"">Adobe̴� Social</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectID(544c91d59b86a0426dfdec37),"""@rdy_dennis Hi Rudy - what seems to be the problem?""",MAS,,Thu Oct 23 06:30:39 +0000 2014,"Kuala Lumpur, Malaysia","<a href=""http://adobe.com"" rel=""nofollow"">Adobe̴� Social</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectID(544c91d59b86a0426dfdec38),"""@fang918 Hi Lynn, kindly note that your meal request has been made and confirmed. Thank you  and have a good day!""",MAS,,Thu Oct 23 03:21:24 +0000 2014,"Kuala Lumpur, Malaysia","<a href=""http://adobe.com"" rel=""nofollow"">Adobe̴� Social</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectID(544c91d59b86a0426dfdec39),"""@mintshung Hi there, the ticket has been resent to your email. Kindly check your spam folder if you do not see it in your inbox. Thank you.""",MAS,,Thu Oct 23 03:04:39 +0000 2014,"Kuala Lumpur, Malaysia","<a href=""http://adobe.com"" rel=""nofollow"">Adobe̴� Social</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectID(544c91d59b86a0426dfdec3a),"""@noellenowell Hi Noelle, you may use either the powerpoint or USB, as the A380 accommodates both. Thank you for flying with us!""",MAS,,Thu Oct 23 03:04:07 +0000 2014,"Kuala Lumpur, Malaysia","<a href=""http://adobe.com"" rel=""nofollow"">Adobe̴� Social</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectID(544c91d59b86a0426dfdec3b),"""@fiuzzhafiz Hi Hafiz, our official MHupgrade page can be found here: http://t.co/XcWQkMuOmB""",MAS,,Thu Oct 23 03:02:42 +0000 2014,"Kuala Lumpur, Malaysia","<a href=""http://adobe.com"" rel=""nofollow"">Adobe̴� Social</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectID(544c91d59b86a0426dfdec3c),"""@diarysmallgirl Hi Kirsty, we are currently investigating the matter. We do appreciate your kind patience.""",MAS,,Thu Oct 23 02:22:37 +0000 2014,"Kuala Lumpur, Malaysia","<a href=""http://adobe.com"" rel=""nofollow"">Adobe̴� Social</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectID(544c91d59b86a0426dfdec3d),"""@mogsey69 Hi Sue - we've followed up with our Customer care team &amp; are awaiting their reply. Will advise once we have further info.""",MAS,,Thu Oct 23 01:33:41 +0000 2014,"Kuala Lumpur, Malaysia","<a href=""http://adobe.com"" rel=""nofollow"">Adobe̴� Social</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectID(544c91d59b86a0426dfdec3e),"""May this Diwali bring you hope and joy with every light lit. #KeepFlying http://t.co/8p9rwLtgbM""",MAS,,Wed Oct 22 00:29:21 +0000 2014,"Kuala Lumpur, Malaysia","<a href=""http://adobe.com"" rel=""nofollow"">Adobe̴� Social</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectID(544c91d59b86a0426dfdec3f),"""@diarysmallgirl Hi Kirsty, kindly note that we have escalated your issue and are awaiting feedback. Thank you for your kind patience.""",MAS,,Tue Oct 21 10:05:51 +0000 2014,"Kuala Lumpur, Malaysia","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectID(544c91d59b86a0426dfdec40),"""@_Aviation Hi there, please be advised that Enrich Miles can only be earned for the original booking class. Thank you for flying with us!""",MAS,,Tue Oct 21 10:00:28 +0000 2014,"Kuala Lumpur, Malaysia","<a href=""http://adobe.com"" rel=""nofollow"">Adobe̴� Social</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
