category,text
Others,"""'rt @qatarflights: dcs upgrade lays foundations for cathay pacific to take passenger self-service to the next lev... T_URL '"""
Rave,"""' memories that will be cherished life long @british_airways T_URL '"""
Others,"""'cathay pacific: the marketing of an airline, 1974 style [aus bt] T_URL '"""
Others,"""'_棄___棄__ beacon shot! _棄___棄__ of a british airways airbus a380 slowing down on 09r at heathrow after flight 282 from lax. T_URL '"""
News,"""' pm: more remains recovered from airlines flight 17 disaster site in | T_URL @mas '"""
Rave,"""'thanks for our upgrades to london tonight on 214, very much appreciated. had a great gig last night and need a sleep @british_airways xxx '"""
Others,"""'sunset from calgary airport onboard a british airways boeing 787 dreamliner T_URL '"""
Rant,"""'@mark92smith @british_airways @swissport very disappointing ! '"""
News,"""'rt @aadharcard: malaysia airlines flight mh370: airlines urge more security checks T_URL via @weebly '"""
Rant,"""'@british_airways paying to pay is a bit silly though, isn_棄__棄__t it? you should have a chat with @paypal and find a way to make it better. '"""
Ads,"""'british airways _棄__棄__ $812: dallas _棄__棄__ nairobi, kenya. (london stopover for $130 more). roundtrip, including all taxes T_URL '"""
Others,"""'cathay pacific getaway surprise! T_URL T_URL '"""
News,"""' spanish air force disrupts british airways flight landing in gibraltar: ba flight fr... T_URL via .@thenewshype '"""
Others,"""'@gwynethpaltrow's show-stopping style on @british_airways a380 - read: T_URL T_URL '"""
Ads,"""'hey @british_airways is celebrating 90 yrs of service to india. share your celebrations pic with for a chance to fly 2 london '"""
Urgent,"""'@british_airways well, here we are 24 hours later, still no luggage...any idea when it will turn up? '"""
Others,"""'@singaporeair welcome to auckland T_POS_EMO '"""
Rave,"""'hey @singaporeair! thanks for getting my mum safely home on her travels. '"""
Query,"""'i recently flew @cathaypacific economy &amp; @british_airways economy... who do you think had the better product? '"""
Rave,"""'@british_airways thanks liz, will do that now! '"""
Urgent,"""'rt @jonathanloynes: @british_airways am still waiting for an answer on how i was advised my flights were unchangeable when i booked them. t_棄___ '"""
Ads,"""'fly to london just by sharing your celebrations pictures with @british_airways by using once-in-a-lifetime, opportunity! '"""
Rave,"""'""@tomalbrand: cathay pacific brand new look T_URL wow! '"""
Rant,"""'malaysia airlines needs to chill.. they are carrying humans not cattle wtf _棄___ '"""
News,"""'news: british airways launches fresh... T_URL | T_URL T_URL '"""
Others,"""'what do you think of this latest conspiracy theory surrounding malaysia airlines mh370? T_URL via @reverb '"""
Rant,"""'rt @barneteye: @jonny_smash @buzzinghelen @british_airways the level of information was atrocious and we only found out from ba app wtf was_棄___ '"""
Rave,"""'@british_airways i love the mobile app status , scheduled 19:45 , estimated 20:00 , status = ""on time"" T_URL '"""
Rave,"""'@davewallsworth @british_airways have a nice flight dave, i hope to see a lot of photos of the flight deck! '"""
Rave,"""'@british_airways ^^ always a pleasure '"""
Others,"""'@nehachawla_ hearty congrats neha , dream high @british_airways '"""
News,"""'""@gannicholas: ; sad news for _棄__棄__棄__ @mas T_URL it had to be on mas '"""
Rant,"""'@british_airways why oh why are you stopping the london city to stockholm flight?! your staff certainly do not know '"""
Others,"""'@british_airways now you can also make very popular and tempting 'motichur laddu' at home.. T_URL '"""
Others,"""'$18k to fly to vegas in a singapore airlines suite? hahahahahahaha thanks maaaaaate '"""
