News,"""""@ascorrespondent: has lost two planes this year,sends thoughts to relatives @mas"""""
Rant,"""'=-as details about the malaysia airlines flight emerged, the tweet was deleted"""
Rant,"""@03apr1996 @uredstonearsenals no mas mas on on mas you are now following @mas. their tweets will be sent to you. ..."""
Rant,"""@airasia @mas be strong!!"""
Rant,"""@airasia asiana @asianaairlines &amp; malaysia airlines. granted, one of the @mas was pure bad luck, effing russians, but come on, wtf?"""
Rant,"""@mas ""it does not matter how slowly you go, as long as you do not stop."" - confucius"""
Rant,"""@mas , we r flying bus class mh fr jkt to kl they asked for extra baggage for bicycles, as other airlines gave 4 free"""
Rant,"""@mas 12:45 mins delay from sched on 8:15pm to 9am T_URL"""
Rant,"""@mas 20 mins to the resched flight 12hrs 45 mins after orginl tme yet no on T_URL"""
Rant,"""@mas @gulf_news flight cancelled due to blocked toilets in after 4 hrs wait onboard"""
Rant,"""@mas ceo had a corporate loss.. it is a direct personal loss for @airasia's @tonyfernandes: feel so bad for him.. T_NEG_EMO("""
Rant,"""@mas is probably the only company that can use the slogan with the picture of an elephant walking!"""
Rant,"""@mas still passengers stranded at the @gulf_news no available rooms to put ppl in, no confirmed flight reschedule"""
Rant,"""@mas to send a tweet why so difficult for bab because telling truth about mh370 what more proof lithium batteries"""
Rant,"""anyone? @mas does it again. 迓蘝迓蘝迓搪want to go somewhere, but don迓蘝迓蘝夦_淌t know where?迓蘝迓蘝迓蘝 be self aware! T_URL"""
Rant,"""as i thought these guys would do something abt their @namelessdigipro @giksongeorge @mona98184 @mas bt they dont want t"""
Rant,"""at least it was not malaysia airlines this time"""
Rant,"""but cannot find the malaysia airlines plane or how it disappeared"""
Rant,"""cancelled flight @mas @gulf_news people waiting messed up plans and hotels great way to start T_URL"""
Rant,"""do not fly on @mas or @airasia because they are bad for your health."""
Rant,"""expressing solidarity with @mas for @airasia"""
Rant,"""find malaysia airlines flight mh370, which is actually on our planet...or maybe it is not?"""
Rant,"""find that big ass malaysia airlines jet or any of the ppl that were onboard... oh, ok"""
Rant,"""find that friggin malaysia airlines plane! i'm still upset about this."""
Rant,"""fly again smile again _迓太迓绦夦_碳_迓太迓绦夦_碳_迓太迓绦夦_碳_迓太迓绦夦_碳 with @mas T_URL"""
Rant,"""has fucked up again. flight scheduled 4 melbourne at 11:20pm was pre-poned by 2 hours without any info @mas"""
Rant,"""i almost forgot about malaysia airlines. you folks did not. katiecouric yahoonews"""
Rant,"""i hate flying. @mas keeps having badluck or at least the people flying with them.light a candle and pray..."""
Rant,"""i would not travel there on or malaysia airlines planes. just sayin."""
Rant,"""if airasia was found by sonar, what does that mean for malaysia airlines ?"""
Rant,"""located where it lost contact with radar.gulf of thailand @mas is logic conclusion not specualtion @yahoonews T_URL"""
Rant,"""location, updated.it is logic and not sepculation. @mas @abcnewsbrisbane T_URL"""
Rant,"""malaysia airlines -迓蘝迓蘝迓搪want to go somewhere but don迓蘝迓蘝夦_淌t know where迓蘝迓蘝迓蘝 tweet reappears T_URL"""
Rant,"""malaysia airlines: ""come on, what are the odds of it happening again??"""""
Rant,"""message from @mas to @airasia, T_URL"""
Rant,"""pmo_putrajaya1_tmi.jpg - 迓蘝迓蘝迓搪plugging leakage is one of the measures that can save malaysia airlines, even ... T_URL"""
Rant,"""prayers go out to the families who lost people that were very dear to them. glad debris was discovered unlike malaysia airlines"""
Rant,"""rm8.75bil alternative @mas proposal to form new airline - to cater to what it claims is demand in ""premium economy"""""
Rant,"""rt abscbnchannel2: it is not even a year since malaysia airlines another plane from air asia gone missi..."""
Rant,"""still missingT_NEG_EMO hope this does not echo that of malaysia airlines"""
Rant,"""such a big country but not a single malaysian capable to hold ceo post for malaysia airlines shame mas..."""
Rant,"""terrorists or nature/god/universe... who is vanishing the planes? @airasia @mas insane"""
Rant,"""the jinx created by @mas is still haunting T_URL"""
Rant,"""thecolonial i feel like theyre still in better shape than malaysia airlines! i still wonder what happened to"""
Rant,"""we should be able to safely fly malaysia airlines."""
Rant,"""what ever happened to malaysia airlines flight 370? it is been over 10 months &amp; they still have not found it."""
Rant,"""what is happening, @mas? T_URL"""
Rant,"""worst services for bus class passenger n enrich member @mas"""
Rant,"""@7oluco: getting on a malaysia airlines flight"" lool ur going to hell"""
Rant,"""@courvgedrums: malaysia airlines: once you fly with us, you will never fly with anyone else!"" _迓太迓跳迓态_迓太迓跳迓态_迓太迓跳迓态"""
Rant,"""@happytmlinson: i even tracked his flight _迓太迓绦迓搪 the only flight to london at that time was mh2 malaysia airlines around noon _迓太迓绦夦_碳"" - wow, fbi!"""
Rant,"""@itscoolsky: .@mas consoling @airasia they know how terrible is this... T_URL"""
Rant,"""@keziakezzy: i fly with malaysia airlines and i'm proud with it. walaupun delay."" honest advertisement"""
Rant,"""@krasnyy040mega @_bee66_迓蘝迓蘝迓台it will never happen迓蘝迓蘝迓台so迓蘝迓蘝迓台please迓蘝迓蘝迓台pack your bags and fly yourself to china迓蘝迓蘝迓台just avoid malaysia airlines..."""""
Rant,"""@mas truly can迓蘝迓蘝夦_淌t go wrong迓蘝迓蘝_or rather can迓蘝迓蘝夦_淌t afford to go wrong."" ahmad johan to lead mas T_URL"""
Rant,"""@mas: @eddren hi, kindly drop us an email at enrich@malaysiaairlines.com and our team will assist you further from there."" @farahleeyana"""
Rant,"""@mas: hi. we do not fly to spain but as far a we have known, eu countries do not require visa. you may check with the embassy for more info."""""
Rant,"""@mas: no matter the size, we are all brothers and sisters! show us how you for a chance to be featured. T_URL"""
Rant,"""@mas:@schwa80 hi faizal, do email your full details to our enrich team at enrich@malaysiaairlines.com for further assistance.thank you!"" ok"""
Rant,"""@myxiu_ting: message from @mas to @airasia, T_URL"""
Rant,"""@naquidin: @channelnewsasia @weareqatar its @airasia - not @mas"" this is a statement from mas to airasia..."""
Rant,"""@pictureeuphoria: this is how travel should be T_URL @mas @airasia"""
Rant,"""@pseudo_fred: @ynot4966 the last two were malaysia airlines."" i just lump them altogether; it is funnier that way! i'm going to hell anyway"""
Rant,"""@sciencetruefact: ..if you are involved in a plane crash you have a 76% chance of survival"" not if flying with malaysia airlines! heyooo!"""
Rant,"""@shahrimtamrin: @mitchefc17 you hate. i do not"" all you have done is hate. i will not fly with anyone but malaysia airlines"""
Rant,"""@tonyfernandes: if we win i guarantee you @aireenomar will do special flights. we have time. but let us win first..."" sorry, gua tatap @mas"""
Rant,"""@trevorimmelman: on my travels @cathaypacificus &amp; @mas were great @americanair were awful, bad service on the ground and in the air."" agree"""
Rant,"""@vielkatv @vielkatv: @mas we demand you take responsability of your delay flight 0163 we have been here in the dubai airport for 18 hours."""""
Rant,"""@vielkatv: @mas we demand you take responsability of your delay of flight 0163 we have been here in the dubai airport for 18 hours.""/ rt"""
Rant,"""as an airline that has recently experienced such great sadness, we stand in solidarity"" @mas extends sympathies to those affected"""
Rant,"""but in the days after @airasia迓蘝迓蘝夦_淌s ordeal, it already looks like it迓蘝迓蘝夦_淌s in a diff league than malaysia airlines."" T_URL"""
Rant,"""divided we are as people but if we stand together and fight we as a race will unite. "" walking with friends @mas... T_URL"""
Rant,"""fly emirates to the indian ocean""? surprised they picked that route up, did not do malaysia airlines much good"""
Rant,"""how is airasia connected to malaysia airlines? both are based in the same region and have lost planes in the past year"" lmao via @timeworld"""
Rant,"""i do not understand how planes just went missing what is wrong with malaysia airlines"" try again...."""
Rant,"""in case we do not see you when you land, thank you for flying with our airline."" ~ malaysia airlines flight attendants, probably."""
Rant,"""malaysia airlines be like迓蘝迓蘝迓台do not look at us迓蘝迓蘝迓台we had nothing to do with it..."""""
Rant,"""mfs missed their jet, it just went malaysia airlines on they ass"" ..bruh, i'm so funny _迓太迓绦夦_澶"""
Rant,"""mh370 was a shocking incident. there is still no final conclusion"" @mas dean dacko"""
Rant,"""on a scale of 1- malaysia airlines , how often do you lose your phone "" _迓太夦_夈㈠绿_"""
