"Topic","Keywords"
"9","0.092*emo + 0.078*pos + 0.025*hat + 0.023*like + 0.015*ow + 0.014*say + 0.011*celebrate + 0.011*manager + 0.010*mum + 0.008*feel"
"8","0.070*british + 0.047*airways + 0.029*lingus + 0.027*aer + 0.026*owner + 0.021*iag + 0.018*sales + 0.017*bid + 0.015*rejects + 0.014*parent"
"7","0.043*flight + 0.027*bag + 0.022*check + 0.022*see + 0.021*n + 0.016*great + 0.014*flight. + 0.014*times + 0.012*awesome + 0.012*1"
"6","0.049*, + 0.023*done + 0.015*terminal + 0.014*end + 0.014*well + 0.014*many + 0.013*pay + 0.012*support + 0.012*ba + 0.012*experience"
"5","0.028*airways. + 0.022*flight + 0.017*neg + 0.016*hy + 0.016*another + 0.015*work + 0.015*could + 0.014*pilot + 0.012*+ + 0.010*one"
"4","0.243*british + 0.217*airways + 0.020*flight + 0.016*london + 0.012*boeing + 0.011*@ + 0.011*via + 0.010*e + 0.010*airport + 0.009*heathrow"
"3","0.055*good + 0.018*nice + 0.017*turn + 0.017*day + 0.016*ell + 0.015*flight + 0.015*sale + 0.014*hope + 0.010*planes + 0.010*home"
"2","0.098*new + 0.040*christmas + 0.021*video + 0.020*york + 0.019*year + 0.019*happy + 0.015*book + 0.012*paris + 0.010*use + 0.010*home"
"1","0.104*british + 0.071*airways + 0.059*crew + 0.057*cabin + 0.032*o + 0.027*(heathrow) + 0.017*world + 0.015*club + 0.012*y + 0.011*employer:"
"0","0.057*service + 0.044*customer + 0.022*morning + 0.021*really + 0.021*flight + 0.018*looking + 0.016*forward + 0.014*aircraft + 0.013*ever + 0.013*let"
