Topic,Keywords,,,,,,,,,,,,,,,,,,,
9,0.016,care ,0.016,phone ,0.015,feel ,0.014,enough ,0.012,stop ,0.012,wish ,0.012,working ,0.011,tickets ,0.01,nice ,0.01,would
8,0.044,flight ,0.017,lhr ,0.016,delayed ,0.016,delay ,0.013,plane ,0.012,making ,0.012,already ,0.011,hank ,0.01,gatwick ,0.01,tweet
7,0.018,much ,0.018,new ,0.016,look ,0.014,job ,0.014,lounge ,0.014,without ,0.013,guys ,0.012,trying ,0.012,flight ,0.012,forward
6,0.145,help ,0.087,come ,0.066,rt ,0.055,dream ,0.053,true ,0.051,ryan ,0.043,battens ,0.043,suffering ,0.041,"disease, ",0.027,ell
5,0.074,emo ,0.045,pos ,0.032,neg ,0.019,christmas ,0.016,see ,0.016,know ,0.015,might ,0.011,never ,0.011,hear ,0.011,flight
4,0.025,bad ,0.021,crew ,0.019,cabin ,0.018,done ,0.018,nothing ,0.017,would ,0.017,e ,0.015,change ,0.014,xmas ,0.013,like
3,0.023,luggage ,0.019,flight ,0.015,one ,0.014,h ,0.012,british ,0.012,today. ,0.009,coming ,0.009,carrying ,0.009,"flight, ",0.009,lost
2,0.038,like ,0.019,stuck ,0.018,flight ,0.015,y ,0.013,looks ,0.012,seems ,0.012,even ,0.01,ticket ,0.01,little ,0.01,took
1,0.05,time ,0.032,flight ,0.027,next ,0.023,year ,0.018,got ,0.015,online ,0.014,ust ,0.011,would ,0.011,make ,0.01,less
0,0.204,british ,0.174,airways ,0.015,airways. ,0.01,book ,0.01,flights ,0.009,airport ,0.009,mumbai ,0.009,fly ,0.009,flight ,0.008,wait
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,9,care phone feel enough stop wish working tickets nice would,,,,,,,,,,,,,,,,
,,,8,flight lhr delayed delay plane making already hank gatwick tweet,,,,,,,,,,,,,,,,
,,,7,much new look job lounge without guys trying flight forward,,,,,,,,,,,,,,,,
,,,6,"help come rt dream true ryan battens suffering disease, ell",,,,,,,,,,,,,,,,
,,,5,emo pos neg christmas see know might never hear flight,,,,,,,,,,,,,,,,
,,,4,bad crew cabin done nothing would e change xmas like,,,,,,,,,,,,,,,,
,,,3,"luggage flight one h british today. coming carrying flight, lost",,,,,,,,,,,,,,,,
,,,2,like stuck flight y looks seems even ticket little took,,,,,,,,,,,,,,,,
,,,1,time flight next year got online ust would make less,,,,,,,,,,,,,,,,
,,,0,british airways airways. book flights airport mumbai fly flight wait,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
