News,"""""@ascorrespondent: has lost two planes this year,sends thoughts to relatives @mas"""""
Rant,"""( to provide handling services to @singaporeair in uk - T_URL @jrprsays"""
Rant,"""booked and paid flights 5 mos ago via via @singaporeair - now flights gone. not much help from @singaporeair"""
Rant,"""by @foodgasmglobal - missed the connecting @singaporeair flight due to a snowstorm a... T_URL"""
Rant,"""continues @singaporeair with 25+hr delay crammed 3 into 2 single bed room now country mgr pa says going to lunch call u later!"""
Rant,"""is for @klm to tell me where my kids' bag is do not want to be told that @singaporeair has misplaced em"""
Rant,"""is massive &amp; boarding process taking a long time. forget boarding early if you are not a gold member or + @singaporeair."""
Rant,"""must be the only airport where the custom officials smile at you and offer you sweeties. @singaporeair"""
Rant,"""singapore airlines says 'not so fast' to mistakenly sold bus... - business insider T_URL"""
Rant,"""would you pay @singaporeair 1200$ to be connected ? T_URL T_URL"""
Rant,"""@businessinsider: @singaporeair says ""not so fast"" to mistakenly sold business class seats T_URL T_URL"""
Rant,"""@ernessto80: @singaporeair hi, avianca said me that you have my baggage. but they are working in it. thanks!"""""
Rant,"""@mgliksmanmdphd: airline passenger stuck with $1300 wi-fi bill - T_URL @singaporeair will gouge u anyway they can."""
Rant,"""@singaporeair is unfortunately the first airline where i just haven迓蘝迓蘝夦_淌t found wifi to be worth it. at all."" T_URL"""
Rant,"""@singaporeair: rejoice with our fares to bangkok, which incl. 30kg baggaallowance! book now: T_URL T_URL"""
Rant,"""canadian ceo"" stuck with $1,171 wi-fi bill while traveling on a singapore airlines after opening his email &amp; uploading a powerpoint presn!_迓太迓绦迓灞"""
Rant,"""singapore airlines would like to apologise for any inconvenience caused"" T_URL T_URL"""
Rant,"""1,200 wifi charge shows what迓蘝迓蘝夦_淌s wrong with singapore airlines wifi: there is a story going viral about a guy that迓蘝迓蘝_ T_URL"""
Rant,"""1200 bill for @singaporeair in-flight wi-fi - T_URL - so how much was actually was actually downloaded @trendhunter?"""
Rant,"""lt;3&lt;3&lt;3 we should so have this service at changi airport and singapore airlines. do not you think? T_URL"""
Rant,"""@singaporeair air hostess uniforms are the nicest i've seen. not sure how practical the long skirt is in an emergency though."""
Rant,"""@singaporeair hoping it is untrue that you discriminate against passengers carrying valuable musical instruments? @nlebrecht"""
Rant,"""+)i've given the officers my number&amp;adress. they said they are gonna tell me if my phone's found/not. i need the confirmation @singaporeair"""
Rant,"""@singaporeair) and work enhances customer experience by leveraging innovative technology - T_URL"""
Rant,""" @singaporeair @staralliance masaimara it is for me always. unconditional love of nature."""
Rant,""".sure that we don迓蘝迓蘝夦_淌t complain very much. we understand you should be kidding @singaporeair can imagine how defenceless could feel a person"""
Rant,"""@9vska @singaporeair ""hi 9vska please share more details at our feedback page at T_URL"""
Rant,"""@jeremygutsche such a bitch for complaining about cost of using satellite internet on @singaporeair. what did you expect? and you are a ceo?"""
Rant,"""@lloydpringlelpr what is up with that anyway, taunting economy customers by making them walk through business class? T_POS_EMO @singaporeair"""
Rant,"""@michaelwtravels @globetrotscott so glad you were there, michael! but should not u be testing it out @ 36k feet in @singaporeair biz class?"""
Rant,"""@noachl @citi @singaporeair they are star alliance so you can redeem on carriers like @united - you just need to call to book"""
Rant,"""@richellingham @heathrowairport have an excellent time. hope @singaporeair do the right and honourable thing and bump you up!"""
Rant,"""@singaporeair and don迓蘝迓蘝夦_淌t tell me to send an e-mail to you, because that迓蘝迓蘝夦_淌s no longer acceptable. just fix the problem!"""
Rant,"""@singaporeair has friendly staff but decor is stuck in 70s &amp; there is obv discomfort w gender-noncomformity (short hair = misgendering)"""
Rant,"""@singaporeair have to say your social media response is super quick!! impressive!!"""
Rant,"""@singaporeair hopefully T_POS_EMO we will be sure to keep you update."""
Rant,"""@singaporeair how about you change your offer details to the dates the offer is actually valid instead of the puffery you have online?"""
Rant,"""@singaporeair in 1st class for an hour ruined my life T_URL via @pfro can you say work harder. @dpavelich @kaylapavelich"""
