"Topic","Keywords"
"9","0.052*cathay + 0.047*pacific + 0.017*bags + 0.017*going + 0.017*able + 0.017*cool. + 0.017*maybe + 0.017*changed + 0.017*30years + 0.011*check-in"
"8","0.020*airline + 0.015*another + 0.015*way + 0.015*fit + 0.015*neg + 0.015*pacific + 0.015*cathay + 0.011*emo + 0.010*i've + 0.010*worth"
"7","0.034*cathay + 0.021*pacific + 0.020*service + 0.020*right + 0.013*get + 0.013*cannot + 0.013*time + 0.013*customer + 0.013*really + 0.013*flight"
"6","0.031*flight + 0.018*hk + 0.015*check + 0.014*back + 0.012*cathay + 0.012*service + 0.012*airport + 0.012*emo + 0.012*seems + 0.009*pacific"
"5","0.030*cathay + 0.026*flight + 0.025*pacific + 0.024*ever + 0.022*worst + 0.022*business + 0.021*fly + 0.017*never + 0.016*class + 0.013*time"
"4","0.024*marco + 0.024*polo + 0.022*system + 0.018*dragonair + 0.015*cathay + 0.014*online + 0.014*flight + 0.014*said + 0.014*helene + 0.014*fr"
"3","0.022*get + 0.021*hour + 0.016*departure + 0.013*service + 0.013*travel + 0.013*shame + 0.013*service. + 0.013*hk + 0.011*back + 0.010*passengers"
"2","0.054*cathay + 0.045*pacific + 0.027*staff + 0.021*flight + 0.017*chung + 0.013*info + 0.013*service + 0.011*said + 0.010*always + 0.010*say"
"1","0.061*like + 0.018*treated + 0.013*flights + 0.013*also + 0.013*'s + 0.013*looks + 0.013*cx + 0.013*gate + 0.013*today. + 0.009*today"
"0","0.024*pacific + 0.024*cathay + 0.014*hours + 0.014*feel + 0.014*big + 0.010*hen + 0.010*late + 0.010*cannot + 0.010*15 + 0.010*crew"
