"Topic","Keywords"
"9","0.020*, + 0.018*one + 0.017*fly + 0.016*using + 0.015*singapore + 0.012*airlines + 0.010*want + 0.010*even + 0.009*internet + 0.009*could"
"8","0.058*singapore + 0.042*airlines + 0.020*airlines. + 0.014*flight + 0.012*fly + 0.011*great + 0.011*long + 0.009*free + 0.009*always + 0.007*use"
"7","0.024*singapore + 0.018*airlines + 0.015*good + 0.011*still + 0.011*things + 0.009*fly + 0.009*sure + 0.008*in-flight + 0.008*days + 0.008*made"
"6","0.053*singapore + 0.053*airlines + 0.022*flight + 0.017*charged + 0.016*delay + 0.015*fly + 0.015*good + 0.013*wifi + 0.013*better + 0.011*offer"
"5","0.022*singapore + 0.020*flight + 0.019*airlines + 0.017*customer + 0.017*service + 0.014*o + 0.014*business + 0.011*seat + 0.010*disappointed + 0.010*worst"
"4","0.053*singapore + 0.034*airlines + 0.016*flying + 0.015*wifi + 0.014*jeremygutsche + 0.014*via + 0.012*service + 0.010*flight + 0.010*airlines. + 0.010*pay"
"3","0.020*singapore + 0.017*airlines + 0.016*much + 0.014*great + 0.012*seat + 0.011*get + 0.010*flight + 0.010*back + 0.009*lost + 0.008*service"
"2","0.041*singapore + 0.025*airlines + 0.017*customer + 0.010*baggage + 0.010*service + 0.008*give + 0.008*experience + 0.008*like + 0.008*one + 0.008*proper"
"1","0.018*flight + 0.015*emo + 0.015*great + 0.014*flights + 0.013*pos + 0.010*in-flight + 0.010*cannot + 0.010*months + 0.009*charged + 0.009*me."
"0","0.044*singapore + 0.035*emo + 0.033*airlines + 0.022*pos + 0.014*even + 0.012*neg + 0.012*lost + 0.011*help + 0.011*service + 0.009*lounge"
